"site_name","plot","Longitude","Latitude","date"
"LABBR","0006",-89.9978793229026,30.3267861194624,"2026-07-01T11:08:05.000000Z"
"LABCR","0006",-89.7862988940652,30.6675151946864,"2026-07-01T11:08:06.000000Z"
"WAOWF","0006",-120.7819496,47.28028595,"2026-04-16T14:01:45.000000Z"
"CORMP","0006",-105.577751,40.363469,"2026-07-01T03:48:06.000000Z"
"CATCU","0006",-120.22134104098,38.2562310824072,"2026-07-01T11:16:06.000000Z"
"CASDU","0006",-116.853129,33.2643422,"2026-07-01T11:17:06.000000Z"
"TXBAR","0006",-97.9962403510713,30.6221642997852,"2026-04-16T14:01:39.000000Z"
"VAJRR","0006",-77.129519999734,37.2702200001071,"2026-04-16T14:02:01.000000Z"
"NJPIP","0006",-74.597041,39.919385,"2026-07-01T05:41:05.000000Z"
"GACHF","0006",-83.6765693,33.0632572,"2026-07-01T11:13:05.000000Z"
"UTDSP","0006",-109.05875,40.50514,"2026-04-16T14:02:26.000000Z"
"MIHIF","0006",-84.906962,46.31062,"2026-07-01T05:27:06.000000Z"
"SCSRF","0006",-81.5568130001596,33.2699250003404,"2026-07-01T11:31:08.000000Z"
"AZCNF","0006",-110.682250851337,31.4525420458342,"2026-07-01T03:19:05.000000Z"
"MDBWR","0006",-76.1227147682213,38.4897322864622,"2026-07-01T05:21:06.000000Z"
"NCPOR","0006",-76.3317625004213,35.6893463003202,"2026-07-01T03:18:07.000000Z"
"CASWR","0006",-122.180307,39.4127,"2026-07-01T03:28:07.000000Z"
"CAAEU","0006",-120.100190917609,38.9954983527082,"2026-07-01T05:41:05.000000Z"
"PA04S","0006",-79.44008874,39.82844426,"2026-07-01T11:32:07.000000Z"
"AZCOP","0006",-110.23831802,31.34345186,"2026-07-09T05:15:05.000000Z"
"NVWAX","0006",-119.950734206073,39.2795524191566,"2026-07-01T11:17:06.000000Z"
"MIHIF","0007",-84.9056609999999,46.308188,"2026-07-01T05:27:06.000000Z"
"WASES","0007",-121.0129775,47.28916428,"2026-04-16T14:01:44.000000Z"
"AZCOP","0007",-110.24024592,31.3422542,"2026-07-09T05:19:05.000000Z"
"CASWR","0007",-122.182087,39.437981,"2026-07-01T03:28:07.000000Z"
"CASBC","0007",-120.052961024383,34.6923725291337,"2026-07-01T11:15:06.000000Z"
"VAJRR","0007",-77.1213199999541,37.2746400001292,"2026-04-16T14:01:59.000000Z"
"AZSAP","0007",-110.550736015796,32.0284791373723,"2026-07-10T05:30:05.000000Z"
"CORMP","0007",-105.575569,40.365071,"2026-07-01T03:42:06.000000Z"
"WATBR","0007",-117.600370142336,47.4393499501816,"2026-04-16T14:01:20.000000Z"
"PA04S","0007",-79.44007094,39.82642204,"2026-07-01T11:32:07.000000Z"
"NJPIP","0007",-74.596674,39.91889,"2026-07-01T05:41:05.000000Z"
"CATCU","0007",-120.220634261494,38.2561873021597,"2026-07-01T11:16:06.000000Z"
"AKWSP","0007",-143.604862329876,61.3797549631371,"2026-07-01T03:25:06.000000Z"
"MDBWR","0007",-76.1191561425289,38.4818613870045,"2026-07-01T05:21:06.000000Z"
"NVWAX","0007",-119.951904730703,39.2795560692025,"2026-07-01T11:17:06.000000Z"
"CALNU","0007",-122.413270386106,38.5731365955179,"2026-07-01T11:17:05.000000Z"
"CODSP","0007",-109.037346223998,40.4705969426618,"2026-07-01T11:13:05.000000Z"
"WAOWF","0007",-120.6737356,47.38908814,"2026-04-16T14:01:46.000000Z"
"ALMLR","0007",-85.7544300856326,33.7231966364,"2026-06-30T15:02:05.000000Z"
"UTDSP","0007",-109.05892,40.5053,"2026-04-16T14:02:28.000000Z"
"SCCRR","0007",-80.269699999741,34.6391999997909,"2026-07-01T11:17:06.000000Z"
"GACHF","0007",-83.6772527,33.0627516,"2026-07-01T11:13:05.000000Z"
"SCPKR","0007",-80.7731366665873,32.2570266665824,"2026-07-01T11:30:05.000000Z"
"MERCR","0007",-70.5214398660756,43.3524776437778,"2026-07-01T05:21:06.000000Z"
"WAWLR","0007",-123.984657610045,46.3605538202021,"2026-04-16T14:01:22.000000Z"
"FLLSR","0007",-83.064099999986,29.321900000022,"2026-06-30T15:40:06.000000Z"
"GAHSR","0007",-81.2782226663465,31.6422353335485,"2026-07-01T05:20:06.000000Z"
"CAYNP","0007",-119.788990721881,37.7192561388564,"2026-07-01T03:21:06.000000Z"
"TXBAR","0007",-97.9974789693951,30.6230001223797,"2026-04-16T14:01:39.000000Z"
"CAAEU","0007",-120.101965082894,38.9947406736499,"2026-07-01T05:41:05.000000Z"
"SCSRF","0007",-81.5511299998558,33.1503460000348,"2026-07-01T11:31:08.000000Z"
"LABCR","0007",-89.7850518357198,30.6688473687291,"2026-07-01T11:08:06.000000Z"
"CASDU","0007",-116.853425,33.263003,"2026-07-01T11:17:06.000000Z"
"CASBC","0008",-120.053663960475,34.6922453209595,"2026-07-01T11:15:06.000000Z"
"SCCRR","0008",-80.2702000002315,34.6455999999676,"2026-07-01T11:17:06.000000Z"
"MIHIF","0008",-84.9026239999999,46.3067010000001,"2026-07-01T05:27:06.000000Z"
"SCSRF","0008",-81.5523430003738,33.1511130000346,"2026-07-01T11:31:08.000000Z"
"VAJRR","0008",-77.1352399998478,37.2749099997583,"2026-04-16T14:01:59.000000Z"
"CASWR","0008",-122.174787,39.412499,"2026-07-01T03:28:07.000000Z"
"CODSP","0008",-109.037816511463,40.4698392309688,"2026-07-01T11:13:05.000000Z"
"GACHF","0008",-83.6776374,33.0624556,"2026-07-01T11:13:05.000000Z"
"UTDSP","0008",-109.05785,40.5057,"2026-04-16T14:02:27.000000Z"
"CAAEU","0008",-120.10433230381,38.9941598599341,"2026-07-01T05:41:05.000000Z"
"AZSAP","0008",-110.544607839183,32.0233210614056,"2026-07-10T05:32:05.000000Z"
"WASES","0008",-121.007415,47.28661538,"2026-04-16T14:01:43.000000Z"
"FLLSR","0008",-83.0123000001935,29.2658999999916,"2026-06-30T15:40:05.000000Z"
"ALMLR","0008",-85.752090428865,33.7318485382915,"2026-06-30T15:03:05.000000Z"
"TXBAR","0008",-98.0504020992623,30.6536859636273,"2026-04-16T14:01:38.000000Z"
"CASDU","0008",-116.8551423,33.26286,"2026-07-01T11:17:06.000000Z"
"CALNU","0008",-122.416293891408,38.5740168556387,"2026-07-01T11:17:05.000000Z"
"CORMP","0008",-105.569242,40.364667,"2026-07-01T03:36:04.000000Z"
"CATCU","0008",-120.219596755188,38.2561266661786,"2026-07-01T11:16:06.000000Z"
"WAOWF","0008",-120.6939202,47.39207886,"2026-04-16T14:01:48.000000Z"
"AZCOP","0008",-110.23756078,31.33997477,"2026-07-09T05:19:05.000000Z"
"CAYNP","0008",-119.788648359553,37.7192011695155,"2026-07-01T03:21:06.000000Z"
"SCPKR","0008",-80.7554446668669,32.260744666303,"2026-07-01T11:30:05.000000Z"
"GAHSR","0008",-81.2743006667318,31.6397919997749,"2026-07-01T05:20:06.000000Z"
"ALWLR","0008",-86.8129352419203,34.5731113080622,"2026-07-01T03:18:07.000000Z"
"NJPIP","0008",-74.597415,39.918892,"2026-07-01T05:41:06.000000Z"
"PA04S","0008",-79.43987556,39.82911688,"2026-07-01T11:32:07.000000Z"
"MDBWR","0008",-76.1180589474274,38.4843040992625,"2026-07-01T05:21:06.000000Z"
"NVWAX","0008",-119.949064562388,39.2790312000442,"2026-07-01T11:17:06.000000Z"
"MSNXR","0008",-88.8402000002463,33.314399999907,"2026-06-30T23:21:05.000000Z"
"AKWSP","0008",-143.608746106176,61.3789998725833,"2026-07-01T03:25:06.000000Z"
"UTDSP","0009",-109.05775,40.5057,"2026-04-16T14:02:27.000000Z"
